Fecha,"Nombre del dispositivo",Temperatura,"Temperatura minima","Temperatura maxima","Vibracion pico X","Vibracion pico Y","Vibracion pico Z","Vibracion pico pico X","Vibracion pico pico Y","Vibracion pico pico Z","Vibracion RMS X","Vibracion RMS Y","Vibracion RMS Z","Voltaje de la bateria"
"2021-06-15 04:05:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:10:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:15:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:20:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:25:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:30:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:35:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:40:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:45:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:50:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:55:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:00:07","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:05:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:10:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:15:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:20:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:25:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:30:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:35:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:40:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:45:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:50:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 05:55:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 06:00:07","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 06:05:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 06:10:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 06:15:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
